aardvark, UKPRON, ˈɑːd.vɑːk
payers, REF, payer
payer, UKPRON, ˈpeɪ.ər
paying, REF, pay
pay, UKPRON, peɪ
payload, UKPRON, ˈpeɪ.ləʊd
payloads, REF, payload
payload, UKPRON, ˈpeɪ.ləʊd
paymaster, UKPRON, ˈpeɪˌmɑː.stər
paymasters, REF, paymaster
paymaster, UKPRON, ˈpeɪˌmɑː.stər
payment, UKPRON, ˈpeɪ.mənt
payments, REF, payment
payment, UKPRON, ˈpeɪ.mənt
payphone, UKPRON, ˈpeɪ.fəʊn
payphones, NA, Not in dictionary
payroll, UKPRON, ˈpeɪ.rəʊl
payrolls, REF, payroll
payroll, UKPRON, ˈpeɪ.rəʊl
pays, REF, pay
pay, UKPRON, peɪ
payslips, REF, payslip
payslip, UKPRON, ˈpeɪ.slɪp
pea, UKPRON, piː
peace, UKPRON, piːs
peaceable, UKPRON, ˈpiː.sə.bəl
peaceably, UKPRON, ˈpiː.sə.bli
peaceful, UKPRON, ˈpiːs.fəl
peacefully, UKPRON, ˈpiːs.fəl.i
peacefulness, UKPRON, ˈpiːs.fəl.nəs
peacekeepers, REF, peacekeeper
peacekeeper, UKPRON, ˈpiːsˌkiː.pər
peacekeeping, UKPRON, ˈpiːsˌkiː.pɪŋ
peacemaker, UKPRON, ˈpiːsˌmeɪ.kər
peacemakers, REF, peacemaker
peacemaker, UKPRON, ˈpiːsˌmeɪ.kər
peacemaking, NA, Not in dictionary
peacetime, UKPRON, ˈpiːs.taɪm
peach, UKPRON, piːtʃ
peaches, REF, peach
peach, UKPRON, piːtʃ
peachier, REF, peachy
peachy, UKPRON, ˈpiː.tʃi
peachiest, REF, peachy
peachy, UKPRON, ˈpiː.tʃi
peachy, UKPRON, ˈpiː.tʃi
peacock, UKPRON, ˈpiː.kɒk
peacocks, REF, peacock
peacock, UKPRON, ˈpiː.kɒk
peafowl, UKPRON, ˈpiː.faʊl
peahens, REF, peahen
peahen, UKPRON, ˈpiː.hen
peak, UKPRON, piːk
peaked, UKPRON, piːkt
peakiness, NA, Not in dictionary
peaking, REF, peak
peak, UKPRON, piːk
peaks, REF, peak
peak, UKPRON, piːk
peaky, UKPRON, ˈpiː.ki
peal, UKPRON, piːl
pealed, REF, peal
peal, UKPRON, piːl
pealing, REF, peal
peal, UKPRON, piːl
peals, REF, peal
peal, UKPRON, piːl
peanut, UKPRON, ˈpiː.nʌt
peanuts, NA, No UK prononciation
pear, UKPRON, peər
pearl, REF, mother-of-pearl
mother-of-pearl, UKPRON, ˌmʌð.ə.rəvˈpɜːl
pearl, UKPRON, pɜːl
pearls, REF, pearl
pearl, REF, mother-of-pearl
mother-of-pearl, UKPRON, ˌmʌð.ə.rəvˈpɜːl
pearl, UKPRON, pɜːl
pearly, UKPRON, ˈpɜː.li
pears, REF, pear
pear, UKPRON, peər
peartrees, NA, Not in dictionary
peas, REF, pea
pea, UKPRON, piː
peasant, UKPRON, ˈpez.ənt
peasantry, UKPRON, ˈpez.ən.tri
peasants, REF, peasant
peasant, UKPRON, ˈpez.ənt
peat, UKPRON, piːt
peatland, NA, Not in dictionary
peatlands, NA, Not in dictionary
peaty, UKPRON, ˈpiː.ti
pebble, UKPRON, ˈpeb.əl
pebbled, UKPRON, ˈpeb.əld
pebbles, REF, pebble
pebble, UKPRON, ˈpeb.əl
pebbly, REF, pebbled
pebbled, UKPRON, ˈpeb.əld
pecan, UKPRON, piːˈkæn
peccary, NA, Not in dictionary
peck, UKPRON, pek
pecked, REF, peck
peck, UKPRON, pek
pecker, UKPRON, ˈpek.ər
peckers, REF, pecker
pecker, UKPRON, ˈpek.ər
pecking, REF, peck
peck, UKPRON, pek
peckish, UKPRON, ˈpek.ɪʃ
pecks, REF, peck
peck, UKPRON, pek
pectin, UKPRON, ˈpek.tɪn
pectoral, UKPRON, ˈpek.tər.əl
pectorals, UKPRON, ˈpek.tər.əlz
peculiar, UKPRON, pɪˈkjuː.li.ər
peculiarities, REF, peculiarity
peculiarity, UKPRON, pɪˌkjuː.liˈær.ə.ti
peculiarity, UKPRON, pɪˌkjuː.liˈær.ə.ti
peculiarly, UKPRON, pɪˈkjuː.li.ə.li
pecuniary, UKPRON, pɪˈkjuː.njər.i
pedagogic, REF, pedagogical
pedagogical, UKPRON, ˌped.əˈɡɒdʒ.ɪkəl
pedagogical, UKPRON, ˌped.əˈɡɒdʒ.ɪkəl
pedagogically, UKPRON, ˌped.əˈɡɒdʒ.ɪ.kəl.i
pedagogue, UKPRON, ˈped.ə.ɡɒɡ
pedagogy, UKPRON, ˈped.ə.ɡɒdʒ.i
pedal, UKPRON, ˈped.əl
pedalled, REF, pedal
pedal, UKPRON, ˈped.əl
pedalling, REF, pedal
pedal, UKPRON, ˈped.əl
pedals, REF, pedal
pedal, UKPRON, ˈped.əl
pedant, UKPRON, ˈped.ənt
pedantic, UKPRON, pəˈdæn.tɪk
pedantically, UKPRON, pəˈdæn.tɪ.kəl.i
pedantry, UKPRON, ˈped.ən.tri
pedants, REF, pedant
pedant, UKPRON, ˈped.ənt
peddle, UKPRON, ˈped.əl
peddled, REF, peddle
peddle, UKPRON, ˈped.əl
peddler, UKPRON, ˈped.lər
peddlers, REF, peddler
peddler, UKPRON, ˈped.lər
peddles, REF, peddle
peddle, UKPRON, ˈped.əl
peddling, REF, peddle
peddle, UKPRON, ˈped.əl
pederasts, REF, pederast
pederast, UKPRON, ˈped.ər.æst
pedestal, UKPRON, ˈped.ə.stəl
pedestals, REF, pedestal
pedestal, UKPRON, ˈped.ə.stəl
pedestrian, UKPRON, pəˈdes.tri.ən
pedestrianisation, NA, Not in dictionary
pedestrianised, REF, pedestrianize
pedestrianize, UKPRON, pəˈdes.tri.ə.naɪz
pedestrians, REF, pedestrian
pedestrian, UKPRON, pəˈdes.tri.ən
pedigree, UKPRON, ˈped.ɪ.ɡriː
pedigrees, REF, pedigree
pedigree, UKPRON, ˈped.ɪ.ɡriː
pediment, UKPRON, ˈped.ɪ.mənt
pedimented, NA, Not in dictionary
pediments, REF, pediment
pediment, UKPRON, ˈped.ɪ.mənt
pedlar, REF, peddler
peddler, UKPRON, ˈped.lər
pedlar, UKPRON, ˈped.lər
pedlars, REF, pedlar
pedlar, REF, peddler
peddler, UKPRON, ˈped.lər
pedlar, UKPRON, ˈped.lər
pedology, NA, Not in dictionary
peek, REF, peep
peep, UKPRON, piːp
peek, UKPRON, piːk
peeked, REF, peek
peek, REF, peep
peep, UKPRON, piːp
peek, UKPRON, piːk
peeking, REF, peek
peek, REF, peep
peep, UKPRON, piːp
peek, UKPRON, piːk
peeks, REF, peek
peek, REF, peep
peep, UKPRON, piːp
peek, UKPRON, piːk
peel, UKPRON, piːl
peeled, REF, peel
peel, UKPRON, piːl
peeler, UKPRON, ˈpiː.lər
peelers, REF, peeler
peeler, UKPRON, ˈpiː.lər
peeling, REF, peel
peel, UKPRON, piːl
peelings, UKPRON, ˈpiː.lɪŋz
peels, REF, peel
peel, UKPRON, piːl
peep, UKPRON, piːp
peeped, REF, peep
peep, UKPRON, piːp
peeper, NA, Not in dictionary
peepers, NA, Not in dictionary
peephole, UKPRON, ˈpiːp.həʊl
peeping, REF, peep
peep, UKPRON, piːp
peeps, UKPRON, piːps
peer, UKPRON, pɪər
peerage, UKPRON, ˈpɪə.rɪdʒ
peerages, REF, peerage
peerage, UKPRON, ˈpɪə.rɪdʒ
peered, REF, peer
peer, UKPRON, pɪər
peering, UKPRON, ˈpɪərɪŋ
peerless, UKPRON, ˈpɪə.ləs
peers, REF, peer
peer, UKPRON, pɪər
peevish, UKPRON, ˈpiː.vɪʃ
peevishly, UKPRON, ˈpiː.vɪʃ.li
peevishness, NA, Not in dictionary
peg, UKPRON, peɡ
pegasus, NA, Not in dictionary
pegged, REF, peg
peg, UKPRON, peɡ
pegging, REF, peg
peg, UKPRON, peɡ
pegs, REF, peg
peg, UKPRON, peɡ
pejorative, UKPRON, pɪˈdʒɒr.ə.tɪv
pejoratively, NA, Not in dictionary
pejoratives, NA, Not in dictionary
pekan, NA, Not in dictionary
peking, UKPRON, ˌpiːˈkɪŋ
pele, NA, Not in dictionary
pelican, UKPRON, ˈpel.ɪ.kən
pelicans, REF, pelican
pelican, UKPRON, ˈpel.ɪ.kən
pellet, UKPRON, ˈpel.ət
pellets, REF, pellet
pellet, UKPRON, ˈpel.ət
pelmet, UKPRON, ˈpel.mət
pelmets, REF, pelmet
pelmet, UKPRON, ˈpel.mət
pelt, UKPRON, pelt
pelted, REF, pelt
pelt, UKPRON, pelt
pelting, REF, pelt
pelt, UKPRON, pelt
pelts, REF, pelt
pelt, UKPRON, pelt
pelvic, UKPRON, ˈpel.vɪk
pelvis, UKPRON, ˈpel.vɪs
pelvises, REF, pelvis
pelvis, UKPRON, ˈpel.vɪs
pen, REF, penitentiary
penitentiary, REF, prison
prison, UKPRON, ˈprɪz.ən
penitentiary, UKPRON, ˌpen.ɪˈten.ʃər.i
pen, UKPRON, pen
penal, UKPRON, ˈpiː.nəl
penalisation, NA, Not in dictionary
penalise, REF, penalize
penalize, UKPRON, ˈpiː.nəl.aɪz
penalised, REF, penalize
penalize, UKPRON, ˈpiː.nəl.aɪz
penalises, REF, penalize
penalize, UKPRON, ˈpiː.nəl.aɪz
penalising, REF, penalize
penalize, UKPRON, ˈpiː.nəl.aɪz
penalties, REF, penalty
penalty, UKPRON, ˈpen.əl.ti
penalty, UKPRON, ˈpen.əl.ti
penance, UKPRON, ˈpen.əns
penances, REF, penance
penance, UKPRON, ˈpen.əns
pence, UKPRON, pens
penchant, UKPRON, ˈpɑ̃ːŋ.ʃɑ̃ːŋ
pencil, UKPRON, ˈpen.səl
pencilled, UKPRON, ˈpen.səld
pencilling, REF, 
, NA, Not in dictionary
pencils, REF, pencil
pencil, UKPRON, ˈpen.səl
pendant, REF, pendent
pendent, UKPRON, ˈpen.dənt
pendant, UKPRON, ˈpen.dənt
pendants, REF, pendant
pendant, REF, pendent
pendent, UKPRON, ˈpen.dənt
pendant, UKPRON, ˈpen.dənt
pending, UKPRON, ˈpen.dɪŋ
pendulous, UKPRON, ˈpen.dʒə.ləs
pendulum, UKPRON, ˈpen.dʒəl.əm
pendulums, REF, pendulum
pendulum, UKPRON, ˈpen.dʒəl.əm
penetrable, NA, Not in dictionary
penetrate, UKPRON, ˈpen.ɪ.treɪt
penetrated, REF, penetrate
penetrate, UKPRON, ˈpen.ɪ.treɪt
penetrates, REF, penetrate
penetrate, UKPRON, ˈpen.ɪ.treɪt
penetrating, UKPRON, ˈpen.ɪ.treɪ.tɪŋ
penetratingly, NA, Not in dictionary
penetration, UKPRON, ˌpen.ɪˈtreɪ.ʃən
penetrations, NA, Not in dictionary
penetrative, UKPRON, ˈpen.ɪ.trə.tɪv
penguin, UKPRON, ˈpeŋ.ɡwɪn
penguins, REF, penguin
penguin, UKPRON, ˈpeŋ.ɡwɪn
penicillin, UKPRON, ˌpen.əˈsɪl.ɪn
penile, UKPRON, ˈpiː.naɪl
peninsula, UKPRON, pəˈnɪn.sjə.lə
peninsular, UKPRON, pəˈnɪn.sjə.lər
peninsulas, REF, peninsula
peninsula, UKPRON, pəˈnɪn.sjə.lə
penitence, UKPRON, ˈpen.ɪ.təns
penitent, UKPRON, ˈpen.ɪ.tənt
penitential, UKPRON, ˌpen.ɪˈten.ʃəl
penitentiary, REF, prison
prison, UKPRON, ˈprɪz.ən
penitentiary, UKPRON, ˌpen.ɪˈten.ʃər.i
penitently, UKPRON, ˈpen.ɪ.tənt.li
penitents, REF, penitent
penitent, UKPRON, ˈpen.ɪ.tənt
penknife, UKPRON, ˈpen.naɪf
penname, NA, Not in dictionary
pennames, NA, Not in dictionary
pennant, UKPRON, ˈpen.ənt
pennants, REF, pennant
pennant, UKPRON, ˈpen.ənt
penned, REF, pen
pen, REF, penitentiary
penitentiary, REF, prison
prison, UKPRON, ˈprɪz.ən
penitentiary, UKPRON, ˌpen.ɪˈten.ʃər.i
pen, UKPRON, pen
pennies, REF, 
, NA, Not in dictionary
penniless, UKPRON, ˈpen.i.ləs
penning, REF, pen
pen, REF, penitentiary
penitentiary, REF, prison
prison, UKPRON, ˈprɪz.ən
penitentiary, UKPRON, ˌpen.ɪˈten.ʃər.i
pen, UKPRON, pen
penny, UKPRON, ˈpen.i
penny, UKPRON,  -pen.i
pennypinching, NA, Not in dictionary
penology, NA, Not in dictionary
pens, REF, pen
pen, REF, penitentiary
penitentiary, REF, prison
prison, UKPRON, ˈprɪz.ən
penitentiary, UKPRON, ˌpen.ɪˈten.ʃər.i
pen, UKPRON, pen
pension, UKPRON, ˈpen.ʃən
pensionable, UKPRON, ˈpen.ʃən.ə.bəl
pensioned, REF, pension-sb-off
pension-sb-off, UKPRON, ˈpen.ʃən
pensioner, UKPRON, ˈpen.ʃən.ər
pensioners, REF, pensioner
pensioner, UKPRON, ˈpen.ʃən.ər
pensioning, REF, pension-sb-off
pension-sb-off, UKPRON, ˈpen.ʃən
pensions, REF, pension
pension, UKPRON, ˈpen.ʃən
pensive, UKPRON, ˈpen.sɪv
pensively, UKPRON, ˈpen.sɪv.li
pensiveness, NA, Not in dictionary
pent, REF, pent-up
pent-up, UKPRON, ˌpentˈʌp
pentagon, UKPRON, ˈpen.tə.ɡən
pentagon, UKPRON, ˈpen.tə.ɡən
pentagonal, NA, Not in dictionary
pentagons, REF, pentagon
pentagon, UKPRON, ˈpen.tə.ɡən
pentagon, UKPRON, ˈpen.tə.ɡən
pentagram, UKPRON, ˈpen.tə.ɡræm
pentagrams, REF, pentagram
pentagram, UKPRON, ˈpen.tə.ɡræm
pentameter, UKPRON, penˈtæm.ɪ.tər
pentameters, NA, Not in dictionary
pentasyllabic, NA, Not in dictionary
pentathlete, UKPRON, penˈtæθ.liːt
pentathlon, UKPRON, penˈtæθ.lɒn
pentatonic, REF, pentatonic-scale
pentatonic-scale, UKPRON, ˌpent.ə.tɒn.ɪk ˈskeɪl
pentecostal, UKPRON, ˌpen.tɪˈkɒs.təl
penthouse, UKPRON, ˈpent.haʊs
penultimate, UKPRON, pəˈnʌl.tɪ.mət
penultimately, NA, Not in dictionary
penumbra, UKPRON, pɪˈnʌm.brə
penurious, UKPRON, pəˈnjʊə.ri.əs
penury, UKPRON, ˈpen.jə.ri
peonies, REF, peony
peony, UKPRON, ˈpiː.ə.ni
people, UKPRON, ˈpiː.pəl
peopled, REF, people
people, UKPRON, ˈpiː.pəl
peoples, REF, people
people, UKPRON, ˈpiː.pəl
pep, UKPRON, pep
pep, UKPRON, pep
peperoni, NA, Not in dictionary
pepper, UKPRON, ˈpep.ər
peppercorn, UKPRON, ˈpep.ə.kɔːn
peppercorns, REF, peppercorn
peppercorn, UKPRON, ˈpep.ə.kɔːn
peppered, REF, pepper
pepper, UKPRON, ˈpep.ər
peppering, REF, pepper
pepper, UKPRON, ˈpep.ər
peppermint, UKPRON, ˈpep.ə.mɪnt
peppermints, REF, peppermint
peppermint, UKPRON, ˈpep.ə.mɪnt
peppers, REF, pepper
pepper, UKPRON, ˈpep.ər
peppery, UKPRON, ˈpep.ər.i
peps, REF, pep-up-something-someone
pep-up-something-someone, NA, No UK prononciation
peptic, UKPRON, ˈpep.tɪk
peptide, UKPRON, ˈpep.taɪd
peptides, REF, peptide
peptide, UKPRON, ˈpep.taɪd
per, UKPRON, pɜːr
perambulate, UKPRON, pəˈræm.bjə.leɪt
perambulated, REF, perambulate
perambulate, UKPRON, pəˈræm.bjə.leɪt
perambulating, REF, perambulate
perambulate, UKPRON, pəˈræm.bjə.leɪt
perambulations, NA, Not in dictionary
perambulator, REF, pram
pram, UKPRON, præm
perambulator, UKPRON, pəˈræm.bjə.leɪ.tər
perannum, NA, Not in dictionary
percales, NA, Not in dictionary
perceivable, NA, Not in dictionary
perceive, UKPRON, pəˈsiːv
perceived, REF, perceive
perceive, UKPRON, pəˈsiːv
perceives, REF, perceive
perceive, UKPRON, pəˈsiːv
perceiving, REF, perceive
perceive, UKPRON, pəˈsiːv
percent, UKPRON, pəˈsent
percentage, UKPRON, pəˈsen.tɪdʒ
percentages, REF, percentage
percentage, UKPRON, pəˈsen.tɪdʒ
percentile, UKPRON, pəˈsen.taɪl
percentiles, REF, percentile
percentile, UKPRON, pəˈsen.taɪl
percept, NA, Not in dictionary
perceptibility, NA, Not in dictionary
perceptible, UKPRON, pəˈsep.tə.bəl
perceptibly, UKPRON, pəˈsep.tə.bli
perception, UKPRON, pəˈsep.ʃən
perceptions, REF, perception
perception, UKPRON, pəˈsep.ʃən
perceptive, UKPRON, pəˈsep.tɪv
perceptively, UKPRON, pəˈsep.tɪv.li
perceptiveness, UKPRON, pəˈsep.tɪv.nəs
percepts, NA, Not in dictionary
perceptual, UKPRON, pəˈsep.tʃu.əl
perceptually, NA, Not in dictionary
perch, UKPRON, pɜːtʃ
perchance, UKPRON, pəˈtʃɑːns
perched, REF, perch
perch, UKPRON, pɜːtʃ
percher, NA, Not in dictionary
perches, REF, perch
perch, UKPRON, pɜːtʃ
perching, REF, perch
perch, UKPRON, pɜːtʃ
perchlorate, NA, Not in dictionary
percipient, UKPRON, pəˈsɪp.i.ənt
percolate, UKPRON, ˈpɜː.kəl.eɪt
percolated, REF, percolate
percolate, UKPRON, ˈpɜː.kəl.eɪt
percolates, REF, percolate
percolate, UKPRON, ˈpɜː.kəl.eɪt
percolating, REF, percolate
percolate, UKPRON, ˈpɜː.kəl.eɪt
percolation, UKPRON, ˌpɜː.kəˈleɪ.ʃən
percolator, UKPRON, ˈpɜː.kəl.eɪ.tər
percolators, REF, percolator
percolator, UKPRON, ˈpɜː.kəl.eɪ.tər
percuss, NA, Not in dictionary
percussed, NA, Not in dictionary
percusses, NA, Not in dictionary
percussing, NA, Not in dictionary
percussion, UKPRON, pəˈkʌʃ.ən
percussionist, UKPRON, pəˈkʌʃ.ən.ɪst
percussionists, REF, percussionist
percussionist, UKPRON, pəˈkʌʃ.ən.ɪst
percussive, UKPRON, pəˈkʌs.ɪv
percussively, NA, Not in dictionary
percutaneous, UKPRON, ˌpɜːkjuːˈteɪ.ni.əs
perdition, UKPRON, pəˈdɪʃ.ən
peregrinations, REF, peregrination
peregrination, UKPRON, ˌper.ə.ɡrɪˈneɪ.ʃən
peregrine, REF, peregrine-falcon
peregrine-falcon, UKPRON, ˌper.ə.ɡrɪn ˈfɒl.kən
peregrines, NA, Not in dictionary
peremptorily, UKPRON, pəˈremp.trə.li
peremptoriness, NA, Not in dictionary
peremptory, UKPRON, pəˈremp.tər.i
perennial, UKPRON, pəˈren.i.əl
perennially, UKPRON, pəˈren.i.ə.li
perennials, REF, perennial
perennial, UKPRON, pəˈren.i.əl
perestroika, UKPRON, ˌper.əˈstrɔɪ.kə
perfect, UKPRON, ˈpɜː.fekt
perfected, REF, perfect
perfect, UKPRON, ˈpɜː.fekt
perfectibility, NA, Not in dictionary
perfecting, REF, perfect
perfect, UKPRON, ˈpɜː.fekt
perfection, UKPRON, pəˈfek.ʃən
perfectionism, UKPRON, pəˈfek.ʃən.ɪ.zəm
perfectionist, UKPRON, pəˈfek.ʃən.ɪst
perfectionists, REF, perfectionist
perfectionist, UKPRON, pəˈfek.ʃən.ɪst
perfections, NA, Not in dictionary
perfectly, UKPRON, ˈpɜː.fekt.li
perfects, REF, perfect
perfect, UKPRON, ˈpɜː.fekt
perfidious, UKPRON, pəˈfɪd.i.əs
perfidiously, NA, Not in dictionary
perfidy, UKPRON, ˈpɜː.fɪ.di
perforate, UKPRON, ˈpɜː.fər.eɪt
perforated, UKPRON, ˈpɜː.fər.eɪ.tɪd
perforation, UKPRON, ˌpɜː.fərˈeɪ.ʃən
perforations, REF, perforation
perforation, UKPRON, ˌpɜː.fərˈeɪ.ʃən
perforce, UKPRON, pəˈfɔːs
perform, UKPRON, pəˈfɔːm
performable, NA, Not in dictionary
performance, UKPRON, pəˈfɔː.məns
performances, REF, performance
performance, UKPRON, pəˈfɔː.məns
performed, REF, perform
perform, UKPRON, pəˈfɔːm
performer, UKPRON, pəˈfɔː.mər
performers, REF, performer
performer, UKPRON, pəˈfɔː.mər
performing, REF, perform
perform, UKPRON, pəˈfɔːm
performs, REF, perform
perform, UKPRON, pəˈfɔːm
perfume, UKPRON, ˈpɜː.fjuːm
perfumed, UKPRON, ˈpɜː.fjuːmd
perfumery, NA, Not in dictionary
perfumes, REF, perfume
perfume, UKPRON, ˈpɜː.fjuːm
perfuming, REF, perfume
perfume, UKPRON, ˈpɜː.fjuːm
perfunctorily, UKPRON, pəˈfʌŋk.tər.əl.i
perfunctory, UKPRON, pəˈfʌŋk.tər.i
perfused, NA, Not in dictionary
perfusion, UKPRON, pəˈfjuː.ʒən
pergola, UKPRON, ˈpɜː.ɡəl.ə
pergolas, REF, pergola
pergola, UKPRON, ˈpɜː.ɡəl.ə
perhaps, UKPRON, pəˈhæps
peri, REF, peri-peri
peri-peri, UKPRON, ˈper.iˌper.i
periastron, NA, Not in dictionary
perigee, UKPRON, ˈper.ɪ.dʒiː
periglacial, NA, Not in dictionary
perihelion, UKPRON, ˌper.ɪˈhiː.li.ən
peril, UKPRON, ˈper.əl
perilous, UKPRON, ˈper.əl.əs
perilously, UKPRON, ˈper.əl.əs.li
perils, REF, peril
peril, UKPRON, ˈper.əl
perimeter, UKPRON, pəˈrɪm.ɪ.tər
perimeters, REF, perimeter
perimeter, UKPRON, pəˈrɪm.ɪ.tər
perinatal, UKPRON, ˌper.ɪˈneɪ.təl
perineal, UKPRON, ˌper.ɪˈniː.əl
perineum, UKPRON, ˌper.ɪˈniː.əm
period, UKPRON, ˈpɪə.ri.əd
periodic, UKPRON, ˌpɪə.riˈɒd.ɪk
periodical, UKPRON, ˌpɪə.riˈɒd.ɪ.kəl
periodically, UKPRON, ˌpɪə.riˈɒd.ɪ.kəl.i
periodicals, REF, periodical
periodical, UKPRON, ˌpɪə.riˈɒd.ɪ.kəl
periodicity, UKPRON, ˌpɪə.ri.əˈdɪs.ə.ti
periods, REF, period
period, UKPRON, ˈpɪə.ri.əd
perioperative, UKPRON, ˌper.ɪˈɒp.ər.ə.tɪv
peripatetic, UKPRON, ˌper.ɪ.pəˈtet.ɪk
peripheral, UKPRON, pəˈrɪf.ər.əl
peripherally, NA, Not in dictionary
peripherals, REF, peripheral
peripheral, UKPRON, pəˈrɪf.ər.əl
peripheries, REF, periphery
periphery, UKPRON, pəˈrɪf.ər.i
periphery, UKPRON, pəˈrɪf.ər.i
periphrasis, NA, Not in dictionary
periphrastic, NA, Not in dictionary
periscope, UKPRON, ˈper.ɪ.skəʊp
periscopes, REF, periscope
periscope, UKPRON, ˈper.ɪ.skəʊp
perish, UKPRON, ˈper.ɪʃ
perishable, UKPRON, ˈper.ɪ.ʃə.bəl
perishables, UKPRON, ˈper.ɪ.ʃə.bəlz
perished, UKPRON, ˈper.ɪʃt
perishes, REF, perish
perish, UKPRON, ˈper.ɪʃ
perishing, UKPRON, ˈper.ɪ.ʃɪŋ
peritoneum, UKPRON, ˌper.ɪ.təˈniː.əm
perjure, UKPRON, ˈpɜː.dʒər
perjured, UKPRON, ˈpɜː.dʒəd
perjurer, UKPRON, ˈpɜː.dʒər.ər
perjury, UKPRON, ˈpɜː.dʒər.i
perk, UKPRON, pɜːk
perked, REF, perk
perk, UKPRON, pɜːk
perkier, REF, perky
perky, UKPRON, ˈpɜː.ki
perkiest, REF, perky
perky, UKPRON, ˈpɜː.ki
perkily, UKPRON, ˈpɜː.kəl.i
perking, REF, perk
perk, UKPRON, pɜːk
perks, REF, perk
perk, UKPRON, pɜːk
perky, UKPRON, ˈpɜː.ki
perm, UKPRON, pɜːm
permafrost, UKPRON, ˈpɜː.mə.frɒst
permanence, UKPRON, ˈpɜː.mə.nəns
permanency, REF, permanence
permanence, UKPRON, ˈpɜː.mə.nəns
permanent, UKPRON, ˈpɜː.mə.nənt
permanently, UKPRON, ˈpɜː.mə.nənt.li
permanganate, REF, potassium-permanganate
potassium-permanganate, UKPRON, pəˌtæs.i.əm pɜːˈmæŋ.ɡə.neɪt
permeability, UKPRON, ˌpɜː.mi.əˈbɪl.ə.ti
permeable, UKPRON, ˈpɜː.mi.ə.bəl
permeate, UKPRON, ˈpɜː.mi.eɪt
permeated, REF, permeate
permeate, UKPRON, ˈpɜː.mi.eɪt
permeates, REF, permeate
permeate, UKPRON, ˈpɜː.mi.eɪt
permeating, REF, permeate
permeate, UKPRON, ˈpɜː.mi.eɪt
permeation, NA, Not in dictionary
permed, REF, perm
perm, UKPRON, pɜːm
perming, REF, perm
perm, UKPRON, pɜːm
permissibility, NA, Not in dictionary
permissible, UKPRON, pəˈmɪs.ə.bəl
permission, UKPRON, pəˈmɪʃ.ən
permissions, REF, permission
permission, UKPRON, pəˈmɪʃ.ən
permissive, UKPRON, pəˈmɪs.ɪv
permissiveness, UKPRON, pəˈmɪs.ɪv.nəs
permit, UKPRON, pəˈmɪt
permits, REF, permit
permit, UKPRON, pəˈmɪt
permitted, REF, permit
permit, UKPRON, pəˈmɪt
permitting, REF, permit
permit, UKPRON, pəˈmɪt
permittivity, NA, Not in dictionary
perms, REF, perm
perm, UKPRON, pɜːm
permutation, UKPRON, ˌpɜː.mjuːˈteɪ.ʃən
permutations, REF, permutation
permutation, UKPRON, ˌpɜː.mjuːˈteɪ.ʃən
permute, NA, Not in dictionary
permuted, NA, Not in dictionary
permutes, NA, Not in dictionary
permuting, NA, Not in dictionary
pernicious, UKPRON, pəˈnɪʃ.əs
perniciousness, NA, Not in dictionary
peroration, UKPRON, ˌper.ərˈeɪ.ʃən
peroxidase, NA, Not in dictionary
peroxide, UKPRON, pəˈrɒk.saɪd
peroxides, REF, peroxide
peroxide, UKPRON, pəˈrɒk.saɪd
perpendicular, UKPRON, ˌpɜː.pənˈdɪk.jə.lər
perpendicularly, UKPRON, ˌpɜː.pənˈdɪk.jə.lə.li
perpendiculars, REF, perpendicular
perpendicular, UKPRON, ˌpɜː.pənˈdɪk.jə.lər
perpetrate, UKPRON, ˈpɜː.pə.treɪt
perpetrated, REF, perpetrate
perpetrate, UKPRON, ˈpɜː.pə.treɪt
perpetrates, REF, perpetrate
perpetrate, UKPRON, ˈpɜː.pə.treɪt
perpetrating, REF, perpetrate
perpetrate, UKPRON, ˈpɜː.pə.treɪt
perpetration, UKPRON, ˌpɜː.pəˈtreɪ.ʃən
perpetrator, UKPRON, ˈpɜː.pə.treɪ.tər
perpetrators, REF, perpetrator
perpetrator, UKPRON, ˈpɜː.pə.treɪ.tər
perpetual, UKPRON, pəˈpetʃ.u.əl
perpetually, UKPRON, pəˈpetʃ.u.ə.li
perpetuate, UKPRON, pəˈpetʃ.u.eɪt
perpetuated, REF, perpetuate
perpetuate, UKPRON, pəˈpetʃ.u.eɪt
perpetuates, REF, perpetuate
perpetuate, UKPRON, pəˈpetʃ.u.eɪt
perpetuating, REF, perpetuate
perpetuate, UKPRON, pəˈpetʃ.u.eɪt
perpetuation, UKPRON, pəˌpetʃ.uˈeɪ.ʃən
perpetuity, UKPRON, ˌpɜː.pəˈtʃuː.ə.ti
perplex, UKPRON, pəˈpleks
perplexed, UKPRON, pəˈplekst
perplexedly, NA, Not in dictionary
perplexing, UKPRON, pəˈplek.sɪŋ
perplexities, REF, perplexity
perplexity, UKPRON, pəˈplek.sə.ti
perplexity, UKPRON, pəˈplek.sə.ti
perquisite, REF, perk
perk, UKPRON, pɜːk
perquisite, UKPRON, ˈpɜːkwɪzɪt
perquisites, REF, perquisite
perquisite, REF, perk
perk, UKPRON, pɜːk
perquisite, UKPRON, ˈpɜːkwɪzɪt
perron, NA, Not in dictionary
perry, UKPRON, ˈper.i
persecute, UKPRON, ˈpɜː.sɪ.kjuːt
persecuted, REF, persecute
persecute, UKPRON, ˈpɜː.sɪ.kjuːt
